ID,Nombre,Precio,Descripción,SKU,URL Imagen
5932,PISTOLA CALAFATEADORA ABIERTA PARA EPOXIBAU,1188.00,"<p>Abierta para cartucho EPOXIBAU FAST.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-02_085130882.png
5929,PISTOLA CALAFATEADORA CERRADA PARA SALCHICA,830.25,"<p>Pistola para aplicar selladores envasados en salchicha.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-02_085358329.png
5926,ISTOLA CALAFATEADORA ABIERTA PARA CARTUCHO,121.50,"<p>Pistola para aplicar selladores envasados en cartucho.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-02_085130882.png
5924,BAUCRIL BLANCO,51.30,"<p>Sellador acrílico para juntas con movimiento moderado entre aluminio y muro con cualquier acabado como cancelería, puertas y ventanas.</p>",,
5920,BAUTECH SILICÓN “S”,2200.00,"<p>Solución incolora de silicona, base solvente, repelente al agua en muros de tabique, cantera, sillar y concreto.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5916,BAUTECH SILICÓN “A”,900.00,"<p>Solución acuosa e incolora de silicona, repelente al agua en muros de tabique, cantera, sillar y concreto.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5913,RELLENO EPOXIBAU,560.00,"<p>Grout epóxico tri componente para recibir maquinaria, columnas y anclas.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/GALON-4LTS-PRODUCTOS-QUIMICOS-IMAGEN.jpg
5910,EPOXIBAU FAST,1080.00,"<p>Adhesivo epóxico de alta resistencia para anclaje de varillas, pernos y tornillos.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-02_012449670.png
5906,EPOXIBAU,570.00,"<p>Adhesivo epóxico bi componente para adherir concreto estructural o concreto fresco a concreto endurecido.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/GALON-4LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5902,CIMBRABAU,1350.00,"<p>Barniz epóxico bi componente para protección de cimbras de madera.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
